ticker,entity_name,period,expected,resolved,coverage_pct,missing_count,gap_count
A,"Agilent Technologies, Inc.",FY2025,52,49,94.2,3,1
AA,"ALCOA CORPORATION",FY2024,52,46,88.5,6,2
AAAU,"GOLDMAN SACHS PHYSICAL GOLD ETF",FY2024,52,11,21.2,41,0
AACB,"ARTIUS II ACQUISITION INC.",FY0,52,0,0.0,52,0
AACG,"ATA Creativity Global",FY2024,52,40,76.9,12,3
AACO,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0002099906.json</Key><RequestId>JXNJN5E6B6DPCK8T</RequestId><HostId>BFZlqCkq/icsEKOohKUWOCUIoJt1yQk2NGvPr/WqJm5Bz9f2nce20/A3ip02Prt27RfmW9hCpFQ=</HostId></Error>",,,,,
AAL,"AMERICAN AIRLINES GROUP INC.",FY2024,52,43,82.7,9,3
AAM,"AA Mission Acquisition Corp.",FY2024,52,10,19.2,42,0
AAME,"ATLANTIC AMERICAN CORP",FY2024,53,31,58.5,22,1
AAMI,"Acadian Asset Management Inc.",FY2024,52,22,42.3,30,1
AAMTF,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0001327899.json</Key><RequestId>DS2SP08614QPER02</RequestId><HostId>3wAcIRQMhSN0D63AZfgck3tjZtyawba0hqDwJn50PdGV5CT++8KmbHloTV/ZxW+dQf2Dsg1/7So=</HostId></Error>",,,,,
AAOI,"Applied Optoelectronics, Inc.",FY2024,52,45,86.5,7,3
AAON,"AAON, INC.",FY2024,52,44,84.6,8,3
AAP,"ADVANCE AUTO PARTS, INC.",FY2024,52,47,90.4,5,3
AAPG,"ASCENTAGE PHARMA GROUP INTERNATIONAL",FY2024,52,1,1.9,51,0
AAPI,"APPLE iSPORTS GROUP, INC.",FY2024,53,32,60.4,21,2
AAPL,"Apple Inc.",FY2025,52,48,92.3,4,3
AAQL,"Antiaging Quantum Living Inc.",FY2025,52,35,67.3,17,4
AARD,"Aardvark Therapeutics, Inc.",FY0,52,0,0.0,52,0
AAS,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0002010218.json</Key><RequestId>12MP73JPEVPFV719</RequestId><HostId>VPA0PHYpTBMP5gAYBZvBwJRZjPxorAC4uBAW19P7xJlOQ25WnbeyEowP0Ae2JE7X7tj+aeuZqPI=</HostId></Error>",,,,,
AASP,"AGASSI SPORTS ENTERTAINMENT CORP.",FY2024,52,24,46.2,28,1
AAT,"AMERICAN ASSETS TRUST, INC.",FY2025,55,36,65.5,19,3
AATC,"AUTOSCOPE TECHNOLOGIES CORP",FY2021,52,44,84.6,8,2
AAUAF,"ALMADEN MINERALS LTD.",FY2024,52,1,1.9,51,0
AAUC,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0001993344.json</Key><RequestId>36F2VAGE0BJ6X37S</RequestId><HostId>WxxwJjNL7L/2IZ+1BjQs7PJmZHPOIGla8zSR5a1LYZIrAgv2qChjKHIJDih6+1QTdKv0cxFHHK0=</HostId></Error>",,,,,
AAUGF,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0001905688.json</Key><RequestId>36F5C4C585TTGH8P</RequestId><HostId>vs/bzzaHwBAmR5DJcUi/ZUUKk6dIGRSlcHQr2mTmLEuo0o7Sbx33IjjgBTo/s/kCX9gKz2UP2p4=</HostId></Error>",,,,,
AAWH,"ASCEND WELLNESS HOLDINGS, INC.",FY2024,52,43,82.7,9,4
AB,"ALLIANCEBERNSTEIN HOLDING L.P.",FY2024,52,16,30.8,36,0
ABAT,"AMERICAN BATTERY TECHNOLOGY COMPANY",FY2025,52,39,75.0,13,3
ABBNY,"ABB Ltd",FY2023,52,49,94.2,3,3
ABBV,"ABBVIE INC.",FY2024,52,49,94.2,3,1
ABCB,"Ameris Bancorp",FY2024,55,36,65.5,19,2
ABCFF,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0001284237.json</Key><RequestId>NDQZFD45BCDZBDBY</RequestId><HostId>ojdefTrrubXvEPAPjukBFK4j4z9OridTrcUDBkIb+JGuL/e5GrcHI+x9XoxShe/dUq/A1SOGDy8=</HostId></Error>",,,,,
ABCL,"AbCellera Biologics Inc.",FY2024,52,41,78.8,11,4
ABCP,"AMBASE CORPORATION",FY2024,55,23,41.8,32,1
ABEO,"ABEONA THERAPEUTICS INC.",FY2024,52,36,69.2,16,2
ABEV,"AMBEV S.A.",FY2024,52,1,1.9,51,0
ABG,"Asbury Automotive Group, Inc.",FY2024,52,43,82.7,9,3
ABIT,"Athena Bitcoin Global",FY2013,52,29,55.8,23,2
ABLV,"Able View Global Inc.",FY2024,52,41,78.8,11,4
ABM,"ABM INDUSTRIES INCORPORATED",FY2025,52,43,82.7,9,2
ABNB,"Airbnb, Inc.",FY2024,52,43,82.7,9,3
ABOS,"Acumen Pharmaceuticals, Inc.",FY2024,52,39,75.0,13,1
ABP,"Abpro Holdings, Inc.",FY2024,52,35,67.3,17,3
ABR,"Arbor Realty Trust, Inc.",FY2024,55,35,63.6,20,3
ABSI,"ABSCI CORP",FY2024,52,41,78.8,11,2
ABT,"ABBOTT LABORATORIES",FY2024,52,48,92.3,4,3
ABTC,"American Bitcoin Corp.",FY2024,52,38,73.1,14,2
ABTS,"ABITS GROUP INC",FY2024,52,31,59.6,21,1
ABUS,"Arbutus Biopharma Corporation",FY2024,52,40,76.9,12,4
ABVC,"ABVC BIOPHARMA, INC.",FY2024,52,43,82.7,9,4
ABVE,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0001979484.json</Key><RequestId>2TE8VXK7PNSBHJ8Z</RequestId><HostId>ZT1EmDnot6gMq09pZGjSSBiFobyt3DugYqCCQrVVYYLx6RfeL6zwtU4UEk8N+kqj7kCZwzYWJXc=</HostId></Error>",,,,,
ABVX,"Abivax SA",FY2024,52,1,1.9,51,0
ABX,"Abacus Global Management, Inc.",FY2024,52,41,78.8,11,3
ABXXF,"ERROR: EDGAR API returned 404: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does not exist.</Message><Key>api/xbrl/companyfacts/CIK0001971975.json</Key><RequestId>X5Y7NSGASC8CNA54</RequestId><HostId>AxJbhBzN6fe/jW0TF7Dj4r47FPlwsfzxa+AFNMWi5Rfp57U4lw3wKARks4+QsmM8Kk5PoNyjIwQ=</HostId></Error>",,,,,
ACA,"Arcosa, Inc.",FY2024,52,48,92.3,4,2
